t,Lambda1,Lambda2,Lambda3,Lambda4,Kdelta
9.88329443147716,0.042278694014124873,-8.881784197001252e-16,-1.7763568394002505e-15,-1.7763568394002505e-15,2.0
9.887295765255086,0.04227869401415152,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
9.891297099033011,0.04227869401417639,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
9.895298432810938,0.04227869401419859,0.0,0.0,0.0,2.0
9.899299766588863,0.04227869401421991,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
9.90330110036679,0.042278694014235896,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
9.907302434144716,0.04227869401425011,8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
9.911303767922641,0.04227869401426343,-8.881784197001252e-16,-1.7763568394002505e-15,-1.7763568394002505e-15,2.0
9.915305101700568,0.042278694014270535,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
9.919306435478493,0.04227869401427409,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
9.92330776925642,0.04227869401427675,0.0,0.0,0.0,2.0
9.927309103034345,0.04227869401427675,8.881784197001252e-16,0.0,-1.7763568394002505e-15,2.0
9.931310436812272,0.04227869401427231,8.881784197001252e-16,-8.881784197001252e-16,-1.7763568394002505e-15,2.0
9.935311770590197,0.04227869401426254,0.0,0.0,-1.7763568394002505e-15,2.0
9.939313104368123,0.04227869401425366,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
9.943314438146048,0.04227869401423856,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
9.947315771923975,0.042278694014221685,1.7763568394002505e-15,0.0,0.0,2.0
9.951317105701902,0.042278694014202145,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
9.955318439479827,0.04227869401417905,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
9.959319773257754,0.04227869401415507,0.0,0.0,0.0,2.0
9.963321107035679,0.042278694014128426,0.0,0.0,0.0,2.0
9.967322440813605,0.042278694014099116,0.0,0.0,0.0,2.0
9.97132377459153,0.04227869401406803,0.0,0.0,0.0,2.0
9.975325108369457,0.042278694014036056,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
9.979326442147382,0.042278694014002305,0.0,0.0,0.0,2.0
9.983327775925309,0.042278694013967666,8.881784197001252e-16,0.0,0.0,2.0
9.987329109703236,0.04227869401393214,8.881784197001252e-16,0.0,-8.881784197001252e-16,2.0
9.99133044348116,0.04227869401389839,0.0,-8.881784197001252e-16,-1.7763568394002505e-15,2.0
9.995331777259088,0.04227869401386375,0.0,-8.881784197001252e-16,-1.7763568394002505e-15,2.0
9.999333111037013,0.04227869401383266,0.0,0.0,-8.881784197001252e-16,2.0
10.00333444481494,0.04227869401379891,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.007335778592864,0.042278694013768714,8.881784197001252e-16,0.0,0.0,2.0
10.011337112370791,0.04227869401374029,0.0,0.0,0.0,2.0
10.015338446148716,0.04227869401371631,0.0,-1.7763568394002505e-15,-1.7763568394002505e-15,2.0
10.019339779926643,0.04227869401369588,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.023341113704568,0.04227869401367812,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.027342447482495,0.04227869401366746,-8.881784197001252e-16,-1.7763568394002505e-15,-1.7763568394002505e-15,2.0
10.031343781260421,0.042278694013661244,8.881784197001252e-16,0.0,-8.881784197001252e-16,2.0
10.035345115038346,0.042278694013660356,0.0,0.0,0.0,2.0
10.039346448816273,0.04227869401366835,8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
