q,T,k,eta_lyapunov,eta_quadrature,eta_from_h_squared,disc_lyap_vs_quad,disc_lyap_vs_hsq
0,3.0,5,0.003987533782001969,0.003987533782019122,0.00398753377553022,1.715294573045867e-14,6.471749351699696e-12
0,3.0,6,0.0014326060968896446,0.0014326060968896423,0.00143260609076144,2.3852447794681098e-18,6.128204714517249e-12
0,3.0,7,0.0014326060968896449,0.0014326060968896423,0.0014326060907614401,2.6020852139652106e-18,6.128204714517249e-12
0,3.0,8,0.0014326060968896455,0.0014326060968896423,0.00143260609076144,3.2526065174565133e-18,6.128205581878987e-12
1,0.1,1,0.008955601412017641,0.008955601412017653,0.008955601438813904,1.214306433183765e-17,2.6796263125072883e-11
1,0.1,2,0.00895560141201766,0.008955601412017653,0.008955601438813904,6.938893903907228e-18,2.6796244043114648e-11
1,0.1,3,0.008422008863987222,0.00842200886398722,0.00842200887566312,1.734723475976807e-18,1.1675898095586668e-11
1,0.1,4,0.000308273528566029,0.000308273528566024,0.00030827353615061275,5.041540102057596e-18,7.584583731467393e-12
1,0.1,5,9.475389596756179e-05,9.475389596756122e-05,9.475389908419245e-05,5.692061405548898e-19,3.1166306650254674e-12
1,0.1,6,0.00039105152991505607,0.00039105152991505493,0.00039105153892597254,1.1384122811097797e-18,9.01091647045188e-12
1,0.1,7,2.407900887845387e-05,2.407900887845387e-05,2.4079009667571486e-05,0.0,7.891176149750056e-13
1,0.1,8,2.4079008878454305e-05,2.407900887845387e-05,2.4079009667571486e-05,4.336808689942018e-19,7.891171812941366e-13
1,0.5,1,0.02503299518138851,0.02503299518138864,0.02503299631227048,1.2836953722228372e-16,1.1308819679312077e-09
1,0.5,2,0.025032995181388566,0.02503299518138864,0.02503299631227048,7.28583859910259e-17,1.1308819124200564e-09
1,0.5,3,0.015785124011714845,0.015785124011714734,0.015785125262926757,1.1102230246251565e-16,1.2512119118568421e-09
1,0.5,4,0.004537976086482414,0.00453797608648252,0.0045379760355859595,1.0581813203458523e-16,5.089645458561387e-11
1,0.5,5,0.0023196652855997256,0.0023196652855997455,0.002319665264735402,1.9949319973733282e-17,2.0864323723585043e-11
1,0.5,6,0.004291028489485971,0.004291028489486123,0.004291028433257894,1.5178830414797062e-16,5.622807774940952e-11
1,0.5,7,0.000594394029579504,0.0005943940295795096,0.0005943940269082233,5.5294310796760726e-18,2.6712807313367115e-12
1,0.5,8,0.0005943940295795056,0.0005943940295795096,0.0005943940269082233,4.0115480381963664e-18,2.671282249219753e-12
1,1.0,1,0.029522341951055825,0.029522341951057136,0.02952234699832379,1.3114509478384662e-15,5.047267964686242e-09
1,1.0,2,0.0295223419510559,0.029522341951057136,0.02952234699832379,1.2351231148954867e-15,5.047267888358409e-09
1,1.0,3,0.01673620881806703,0.016736208818065708,0.016736213946463907,1.321859288694327e-15,5.128396877301933e-09
1,1.0,4,0.00646765167894809,0.006467651678950139,0.006467651637286773,2.048708425128609e-15,4.166131675753526e-11
1,1.0,5,0.004042313411046225,0.004042313411046559,0.004042313371059766,3.3393426912553537e-16,3.998645945607615e-11
1,1.0,6,0.004784316722988444,0.0047843167229909426,0.0047843167166670125,2.4988691671445906e-15,6.321431225697616e-12
1,1.0,7,0.0012063048565928436,0.0012063048565929214,0.0012063048452866918,7.784571598445922e-17,1.1306151761342198e-11
1,1.0,8,0.0012063048565928453,0.0012063048565929214,0.0012063048452866918,7.611099250848241e-17,1.1306153496065674e-11
1,3.0,1,0.030708616583478093,0.030708616583580893,0.030708662906577294,1.0279971318638559e-13,4.632309920024613e-08
1,3.0,2,0.030708616583478163,0.030708616583580896,0.03070866290657729,1.0273379369429847e-13,4.6323099127387746e-08
1,3.0,3,0.017281756414294323,0.017281756414188436,0.017281802739030582,1.058875209736243e-13,4.632473625879041e-08
1,3.0,4,0.007226306997572698,0.007226306997741585,0.007226306994172567,1.6888660608893602e-13,3.400130871300533e-12
1,3.0,5,0.004837873532822061,0.004837873532850203,0.004837873529347362,2.8141551589033753e-14,3.474698827277134e-12
1,3.0,6,0.00482995736962149,0.0048299573698247136,0.004829957369362242,2.0322372257242094e-13,2.592474845908299e-13
1,3.0,7,0.0017080524318933343,0.0017080524318997805,0.0017080524290201927,6.446232436729815e-15,2.873141611778318e-12
1,3.0,8,0.0017080524318933365,0.0017080524318997805,0.001708052429020193,6.444064032384844e-15,2.8731435633422286e-12
