k,q,T,lam,D,D_T,D_max,ratio_DT_over_Dmax
4,-1.0,3.0,0.0001,10.554212417972906,5.651071204811431,13.703500483549389,0.41238158174222417
4,-1.0,3.0,0.00017782794100389227,10.55420537184687,5.6510917977438995,13.70352399202859,0.41238237704631076
4,-1.0,3.0,0.00031622776601683794,10.554192842317443,5.651128417232116,13.703565795375573,0.4123837913150426
4,-1.0,3.0,0.0005623413251903491,10.554170562740548,5.651193535334266,13.703640121561122,0.4123863064998879
4,-1.0,3.0,0.001,10.554130947940731,5.651309328519499,13.70377225907483,0.4123907798290447
4,-1.0,3.0,0.0017782794100389228,10.55406051602594,5.651515225362505,13.704007132473532,0.41239873642290087
4,-1.0,3.0,0.0031622776601683794,10.553935313502857,5.651881317545537,13.704424471711398,0.41241289112228835
4,-1.0,3.0,0.005623413251903491,10.553712810950339,5.652532173894537,13.705165578339322,0.4124380797579144
4,-1.0,3.0,0.01,10.55331758933023,5.653689079540034,13.706480241628126,0.4124829263146014
4,-1.0,3.0,0.01778279410038923,10.552616194860969,5.655744805614091,13.708808186620244,0.4125628376020376
4,-1.0,3.0,0.03162277660168379,10.551373391466365,5.659395489863271,13.712918363841204,0.41270540228593505
4,-1.0,3.0,0.05623413251903491,10.549177378177186,5.665871766897985,13.720395320846457,0.4129525159008639
4,-1.0,3.0,0.1,10.545316074271108,5.677339213771706,13.733896474701865,0.4133815355481591
4,-1.0,3.0,0.1778279410038923,10.538585033728394,5.6975778720857555,13.757723790595016,0.41413666670504784
4,-1.0,3.0,0.31622776601683794,10.527026749640372,5.73309213069722,13.798775543125016,0.4154783236222454
4,-1.0,3.0,0.5623413251903491,10.507685673311155,5.79479673733206,13.869301839643512,0.4178145954519803
4,-1.0,3.0,1.0,10.476691718689656,5.900224050376195,13.987690716374097,0.4218154497417754
4,-1.0,3.0,1.7782794100389228,10.430360086458718,6.075491547701264,14.178345998470691,0.42850495737348915
