S,size,q,T,lam,E,D,y_T
"(4,)",1,0,3,1000000.0,222.570208711983,10.034303190823486,1.0
"(4,)",1,1,0.1,0.0,3243.8724291720705,25.409246836595237,1.0
"(4,)",1,1,0.1,0.0001,3243.8724291721414,25.40924610961981,0.9999999999999998
"(4,)",1,1,0.1,0.00017782794100389227,3243.8724291723,25.409245543830433,1.0
"(4,)",1,1,0.1,0.00031622776601683794,3243.872429172795,25.409244537699834,0.9999999999999999
"(4,)",1,1,0.1,0.0005623413251903491,3243.872429174365,25.409242748520857,0.9999999999999998
"(4,)",1,1,0.1,0.001,3243.8724291793333,25.409239566868298,1.0
"(4,)",1,1,0.1,0.0017782794100389228,3243.872429195048,25.40923390902526,1.0
"(4,)",1,1,0.1,0.0031622776601683794,3243.872429244748,25.409223847876305,1.0
"(4,)",1,1,0.1,0.005623413251903491,3243.8724294019185,25.409205956584863,0.9999999999999999
"(4,)",1,1,0.1,0.01,3243.87242989895,25.409174141637234,1.0
"(4,)",1,1,0.1,0.01778279410038923,3243.8724314706706,25.409117568197974,0.9999999999999999
"(4,)",1,1,0.1,0.03162277660168379,3243.8724364405507,25.409016972489653,1.0
"(4,)",1,1,0.1,0.05623413251903491,3243.872452154631,25.408838109476033,1.0
"(4,)",1,1,0.1,0.1,3243.8725018348073,25.408520117765374,1.0
"(4,)",1,1,0.1,0.1778279410038923,3243.8726588685677,25.40795488208249,1.0
"(4,)",1,1,0.1,0.31622776601683794,3243.8731550652824,25.406950501003134,1.0
"(4,)",1,1,0.1,0.5623413251903491,3243.874721998537,25.405166848696453,1.0
"(4,)",1,1,0.1,1.0,3243.879664859006,25.402002639598646,1.0
"(4,)",1,1,0.1,1.7782794100389228,3243.8952272182114,25.396399769614487,1.0
"(4,)",1,1,0.1,3.1622776601683795,3243.944059143344,25.386511412528506,1.0
"(4,)",1,1,0.1,5.623413251903491,3244.096375365571,25.369160730440935,1.0
"(4,)",1,1,0.1,10.0,3244.566562595122,25.339023536445215,1.0
"(4,)",1,1,0.1,17.78279410038923,3245.9921983260524,25.287584904200237,0.9999999999999998
"(4,)",1,1,0.1,31.622776601683793,3250.186239119746,25.202341000791627,1.0
"(4,)",1,1,0.1,56.23413251903491,3261.935842247548,25.067677223112803,1.0
"(4,)",1,1,0.1,100.0,3292.4965930310864,24.86990519539061,1.0000000000000002
"(4,)",1,1,0.1,177.82794100389228,3364.259834519631,24.6073346219457,1.0
"(4,)",1,1,0.1,316.22776601683796,3513.2922516006497,24.298819773704487,1.0
"(4,)",1,1,0.1,562.341325190349,3786.1888250638344,23.979278169571963,1.0
"(4,)",1,1,0.1,1000.0,4233.314978285168,23.683432919999618,1.0
"(4,)",1,1,0.1,1778.2794100389228,4905.25052181028,23.43254097585801,0.9999999999999998
"(4,)",1,1,0.1,3162.2776601683795,5858.736288880225,23.231915990432064,1.0
"(4,)",1,1,0.1,5623.413251903491,7169.698387012128,23.076634638576735,1.0
"(4,)",1,1,0.1,10000.0,8944.630458928272,22.958349756973238,1.0
"(4,)",1,1,0.1,17782.794100389227,11329.993258147293,22.86893505595223,0.9999999999999998
"(4,)",1,1,0.1,31622.776601683792,14523.90928154108,22.8016013762234,0.9999999999999998
"(4,)",1,1,0.1,56234.13251903491,18792.338839138374,22.750994981653683,0.9999999999999999
"(4,)",1,1,0.1,100000.0,24491.082062872036,22.712999528225797,0.9999999999999999
"(4,)",1,1,0.1,177827.94100389228,32095.35927048219,22.68448809463051,0.9999999999999998
"(4,)",1,1,0.1,316227.7660168379,42239.39884713568,22.663099742085954,1.0
"(4,)",1,1,0.1,562341.3251903491,55769.29906015882,22.647057488032942,1.0
"(4,)",1,1,0.1,1000000.0,73813.50400385777,22.635026097810783,0.9999999999999998
"(4,)",1,1,1,0.0,154.6156239746876,8.034451015815065,1.0
"(4,)",1,1,1,0.0001,154.61562397523593,8.034445532479538,0.9999999999999999
"(4,)",1,1,1,0.00017782794100389227,154.61562397642172,8.034441264984379,1.0
"(4,)",1,1,1,0.00031622776601683794,154.615623980171,8.034433676341603,0.9999999999999999
"(4,)",1,1,1,0.0005623413251903491,154.6156239920268,8.034420182107699,1.0
"(4,)",1,1,1,0.001,154.61562402951532,8.034396187149182,0.9999999999999999
"(4,)",1,1,1,0.0017782794100389228,154.6156241480497,8.034353522340425,1.0
"(4,)",1,1,1,0.0031622776601683794,154.61562452280882,8.034277667981515,1.0
"(4,)",1,1,1,0.005623413251903491,154.61562570745562,8.034142827022123,1.0
"(4,)",1,1,1,0.01,154.61562945113877,8.033903197854967,0.9999999999999999
"(4,)",1,1,1,0.01778279410038923,154.6156412756802,8.033477562049065,1.0
"(4,)",1,1,1,0.03162277660168379,154.61567858950886,8.03272221414757,1.0
"(4,)",1,1,1,0.05623413251903491,154.61579614585474,8.031383879797474,1.0
"(4,)",1,1,1,0.1,154.61616543468813,8.02901927902252,1.0
"(4,)",1,1,1,0.1778279410038923,154.61731960112618,8.024862192977524,1.0
"(4,)",1,1,1,0.31622776601683794,154.6208946055554,8.017617447504987,1.0
"(4,)",1,1,1,0.5623413251903491,154.6317967743504,8.0051822902046,1.0
"(4,)",1,1,1,1.0,154.6641685882016,7.984386654136875,1.0
"(4,)",1,1,1,1.7782794100389228,154.75611992790007,7.9510852513608725,1.0
