S,size,q,T,lam,E,D,y_T
"(4,)",1,1,1,3.1622776601683795,154.99952766929846,7.901316134475302,1.0
"(4,)",1,1,1,5.623413251903491,155.57993549286925,7.8341968361105945,0.9999999999999999
"(4,)",1,1,1,10.0,156.78277619466581,7.75539483433582,1.0
"(4,)",1,1,1,17.78279410038923,158.89447260333876,7.676950588204291,0.9999999999999999
"(4,)",1,1,1,31.622776601683793,162.02299223998173,7.611076968046426,0.9999999999999999
"(4,)",1,1,1,56.23413251903491,166.0123300171619,7.563531897838739,1.0
"(4,)",1,1,1,100.0,170.54293132496468,7.533025124627223,1.0
"(4,)",1,1,1,177.82794100389228,175.30189901858762,7.5149533112739535,1.0
"(4,)",1,1,1,316.22776601683796,180.09426827115257,7.504706948253904,1.0
"(4,)",1,1,1,562.341325190349,184.87427760797382,7.49896130335343,0.9999999999999999
"(4,)",1,1,1,1000.0,189.73231149924982,7.495682374818112,1.0
"(4,)",1,1,1,1778.2794100389228,194.8719469277235,7.493736042534235,0.9999999999999999
"(4,)",1,1,1,3162.2776601683795,200.5951460413801,7.492520346125437,1.0
"(4,)",1,1,1,5623.413251903491,207.30186816263617,7.491721065899626,1.0
"(4,)",1,1,1,10000.0,215.50522166694157,7.491172283970663,1.0000000000000002
"(4,)",1,1,1,17782.794100389227,225.86219735060592,7.490783154752622,0.9999999999999998
"(4,)",1,1,1,31622.776601683792,239.22083107038736,7.49050114314406,1.0000000000000002
