k,q,T,lam,E,D,Dbar,D_T,D_max,y_T,resid_norm,m_T_1,m_T_2,m_T_3,m_T_4,m_T_5,m_T_6,m_T_7,m_T_8
4,1,1,0.1,154.61616543468813,8.02901927902252,8.02901927902252,8.752563354636255,16.869164202596277,1.0,1.966555322339518,0.9365013427999911,0.9365013427999911,1.126997314400018,2.291755895168018,0.508243364360131,0.8815790372151945,0.8592929017799219,0.8592929017799219
4,1,1,0.1778279410038923,154.61731960112618,8.024862192977524,8.024862192977524,8.778651462192123,16.889662011650334,1.0,1.968490158661507,0.9363574416197472,0.9363574416197472,1.1272851167605056,2.294171246423598,0.5078818790164452,0.8811660064309579,0.8591238209609069,0.8591238209609069
4,1,1,0.31622776601683794,154.6208946055554,8.017617447504987,8.017617447504987,8.824660288601265,16.925176455123943,1.0,1.9718990398786131,0.9361052841985967,0.9361052841985968,1.1277894316028065,2.2984211767977736,0.5072486261912883,0.880441321634886,0.8588279519525975,0.8588279519525975
4,1,1,0.5623413251903491,154.6317967743504,8.0051822902046,8.0051822902046,8.905293178978537,16.98997013342013,1.0,1.977862883086075,0.9356683165586493,0.9356683165586493,1.1286633668827013,2.305839657986543,0.5061517840884026,0.8791826623084636,0.8583164843218966,0.8583164843218966
4,1,1,1.0,154.6641685882016,7.984386654136875,7.984386654136875,9.045086908890699,17.10111906644203,1.0,1.988171144524569,0.9349254092189906,0.9349254092189906,1.130149181562019,2.318613032224307,0.5042885437142468,0.8770343422789894,0.857450604179423,0.857450604179423
4,1,1,1.7782794100389228,154.75611992790007,7.9510852513608725,7.9510852513608725,9.283081393016339,17.29173610919147,1.0,2.0056298389634057,0.9337020908536774,0.9337020908536774,1.1325958182926459,2.3401102757309626,0.5012246537580671,0.8734729683849791,0.8560351645062501,0.8560351645062501
4,1,1,3.1622776601683795,154.99952766929846,7.901316134475302,7.901316134475302,9.67651197237101,17.606220856094364,1.0,2.034242518771642,0.9317885093135642,0.9317885093135642,1.136422981372872,2.3749940478636926,0.49644246660131564,0.8678396023406751,0.853848018533061,0.853848018533061
4,1,1,5.623413251903491,155.57993549286925,7.8341968361105945,7.8341968361105945,10.29836309755424,18.102177194439747,0.9999999999999999,2.0788468400583975,0.9290181472839482,0.9290181472839483,1.1419637054321035,2.4285971432831506,0.48954144391007925,0.8595378562550233,0.8507437334848297,0.8507437334848297
4,1,1,10.0,156.78277619466581,7.75539483433582,7.75539483433582,11.221388400546607,18.82807258520329,1.0,2.1436932441587593,0.9254131942230589,0.9254131942230589,1.1491736115538824,2.505071443329359,0.48059909953692664,0.8484440665828511,0.8468252326394743,0.8468252326394744
4,1,1,17.78279410038923,158.89447260333876,7.676950588204291,7.676950588204291,12.487312834975466,19.79312020200955,0.9999999999999999,2.230106981424737,0.9212985081554573,0.9212985081554573,1.1574029836890853,2.604787938588963,0.47043856586176225,0.8353074583982706,0.8425435977340887,0.8425435977340887
4,1,1,31.622776601683793,162.02299223998173,7.611076968046426,7.611076968046426,14.076566203851558,20.949208132372057,0.9999999999999999,2.334731362019298,0.9172223436235668,0.9172223436235668,1.1655553127528662,2.7228934894619643,0.4604100710469647,0.8216756615256245,0.8385416413762519,0.8385416413762521
