seed,t,phase,n_live_hypotheses,map_hid,map_prob,map_size,map_age,map_status,margin_top1_top2,entropy,n_exact_duplicate_groups,n_near_duplicate_pairs,coalesced_entropy,coalesced_margin,coalesced_map_matches_map,C,D,Q,n_components,size_frac,R_retain_step,R_purity_step,R_F,D_deform,bulk_speed,consistency_vs_vizbundle_ok
500,21,uncontrolled,6,2,0.3573560057461149,17,20,active,0.05032711154003999,1.5012308168912625,1,0,1.3823645196797678,0.012684252124795958,True,0.4742504557822676,1.0,1.0,3,0.0425,0.85,1.0,0.8127503315916283,0.1181113250595836,0.2734614648794806,True
500,22,uncontrolled,6,2,0.357356005746115,17,21,active,0.05032711154003999,1.5012308168912625,1,0,1.3823645196797678,0.012684252124795903,True,0.4117647058823529,1.0,1.0,3,0.0425,1.0,1.0,0.910575921189273,0.05640595537682347,0.11529411764705877,True
500,23,uncontrolled,6,2,0.357356005746115,17,22,active,0.05032711154003999,1.5012308168912625,1,0,1.217103739805262,0.04493897920979811,False,0.29411764705882354,1.0,1.0,4,0.0425,1.0,1.0,0.914504202767187,0.05392811631671523,0.0823529411764703,True
500,24,uncontrolled,6,2,0.4028377416159455,17,23,active,0.16394303415097403,1.561294451796819,0,0,1.561294451796819,0.16394303415097403,True,0.4117647058823529,1.0,1.0,3,0.0425,1.0,1.0,0.9037707465325401,0.06069845000605659,0.11529411764705877,True
500,25,uncontrolled,6,2,0.4028377416159455,17,24,active,0.16394303415097403,1.561294451796819,1,0,1.4247570486645538,0.16394303415097403,True,0.3167744004196767,1.0,1.0,4,0.0425,1.0,1.0,0.8516458606738146,0.09357722298164792,0.0886968321175093,True
500,26,uncontrolled,6,2,0.4028377416159455,17,25,active,0.16394303415097403,1.561294451796819,1,0,1.4247570486645538,0.16394303415097403,True,0.21209125149788174,1.0,1.0,3,0.0425,1.0,1.0,0.8213601249976072,0.11268053249095994,0.059385550419406574,True
500,27,uncontrolled,6,2,0.42043685358899846,29,26,individuation_loss,0.17110535167279092,1.5243857461433097,1,0,1.4120798936247925,0.17110535167279092,True,0.49371796769918463,1.0,1.0,6,0.0725,0.8235294117647058,0.4827586206896552,0.49739936145423946,0.31702500676780143,0.9847315652108994,True
500,28,uncontrolled,6,2,0.42043685358899846,28,27,active,0.17110535167279092,1.5243857461433097,1,0,1.4120798936247925,0.17110535167279092,True,0.52731510929405,1.0,1.0,6,0.07,0.9655172413793104,1.0,0.8240042149108923,0.11101272199020279,0.19895299935275448,True
500,29,uncontrolled,6,2,0.4419936557773319,29,28,individuation_loss,0.17987833193817293,1.4782356549078204,1,0,1.3601716129568886,0.17987833193817293,True,0.3665567521632638,1.0,1.0,5,0.0725,1.0,0.9655172413793104,0.8570312921730449,0.09018025861958306,0.18596359259740666,True
500,30,uncontrolled,4,2,0.5330445123880446,29,29,active,0.21693333486547223,1.089016945390373,0,0,1.089016945390373,0.21693333486547223,True,0.37298806297903336,1.0,1.0,5,0.0725,1.0,1.0,0.8555626327784961,0.0911066437428563,0.10443665763412885,True
500,31,uncontrolled,5,2,0.5330445123880446,36,30,individuation_loss,0.331385009374637,1.2959417639147381,1,0,1.1642003678532045,0.331385009374637,True,0.21154925294066412,1.0,0.798059730609249,10,0.09,1.0,0.8055555555555556,0.729006368864612,0.17093443811234915,0.24627352348928505,True
500,32,uncontrolled,6,2,0.5488979925898022,35,31,active,0.3412408573632859,1.3307180655758668,2,0,1.129956921609506,0.2987069760972608,True,0.23035022137995856,1.0,0.8717401832630548,8,0.0875,0.9722222222222222,1.0,0.8253046801743431,0.11019242854580982,0.10932857951855024,True
500,33,uncontrolled,6,2,0.5488979925898022,36,32,individuation_loss,0.3412408573632859,1.3307180655758668,2,0,1.129956921609506,0.2987069760972608,True,0.12422599874998831,1.0,0.811371119343609,8,0.09,1.0,0.9722222222222222,0.7693003249396158,0.14551825134756352,0.12070609617054784,True
