eps,L_exact,L_H,half_L_H,ratio_2L_over_LH
0.0032176417502507355,3.3486141326477536e-07,6.69722600212391e-07,3.348613001061955e-07,1.0000003379267173
0.003370064329271928,3.6730974617427137e-07,7.346192222962583e-07,3.6730961114812916e-07,1.0000003676085192
0.00352970730273065,4.029008726647021e-07,8.058014187939284e-07,4.029007093969642e-07,1.0000004052307034
0.0036969127071950283,4.419389654231054e-07,8.838775401906934e-07,4.419387700953467e-07,1.000000441979233
0.003872038781812557,4.847576100530659e-07,9.695147508286713e-07,4.847573754143357e-07,1.0000004840333374
0.004055460735840828,5.317226348111603e-07,1.0634447051525597e-06,5.317223525762798e-07,1.0000005307937105
0.0042475715525368985,5.83235225448675e-07,1.166469770333628e-06,5.83234885166814e-07,1.000000583438799
0.004448782831127585,6.397353331522027e-07,1.2794698476493507e-06,6.397349238246753e-07,1.0000006398392711
0.004659525668664682,7.017054173275028e-07,1.403409849985143e-06,7.017049249925715e-07,1.0000007016267292
0.004880251583654433,7.696745409901951e-07,1.5393478982840835e-06,7.696739491420418e-07,1.0000007689595756
0.005111433483440166,8.442228658367412e-07,1.6884443057440779e-06,8.442221528720389e-07,1.0000008445226174
0.0053535666774107244,9.259865700883552e-07,1.8519714250972544e-06,9.259857125486272e-07,1.0000009260831093
0.005607169938205458,1.0156632521685083e-06,2.0313244414550015e-06,1.0156622207275008e-06,1.0000010155354668
0.005872786613189483,1.1140178415303126e-06,2.2280332010212285e-06,1.1140166005106142e-06,1.0000011140046725
0.006150985788580504,1.2218890805826277e-06,2.443775174526802e-06,1.221887587263401e-06,1.0000012221412526
0.00644236350872137,1.3401966283410616e-06,2.6803896635874043e-06,1.3401948317937022e-06,1.0000013405120785
0.006747544053110693,1.4699488444236408e-06,2.9398933684082424e-06,1.4699466842041212e-06,1.0000014695903892
0.0070671812739274914,1.6122513226690671e-06,3.2244974464307858e-06,1.6122487232153929e-06,1.0000016123155422
0.007401959996915644,1.7683162285564435e-06,3.536626203726543e-06,1.7683131018632715e-06,1.0000017681784796
0.007752597488629464,1.939472548784238e-06,3.878937574283409e-06,1.9394687871417046e-06,1.0000019395220785
0.008119844993184008,2.127177303634653e-06,4.254345556904557e-06,2.1271727784522786e-06,1.0000021273224349
0.008504489341802677,2.3330278411393124e-06,4.666044795357689e-06,2.3330223976788446e-06,1.00000233322255
0.00890735463861044,2.5587753000877456e-06,5.117537504795177e-06,2.5587687523975885e-06,1.0000025589221968
0.009329304026284686,2.8063393582300478e-06,5.612662966442692e-06,2.806331483221346e-06,1.0000028061577004
0.009771241535346501,3.077824390018691e-06,6.155629833267138e-06,3.077814916633569e-06,1.000003077958025
0.010234114021054527,3.3755371502408593e-06,6.7510515119369595e-06,3.3755257559684797e-06,1.0000033755548627
0.010718913192051276,3.702006161176996e-06,7.403984911045828e-06,3.701992455522914e-06,1.0000037022371728
0.011226677735108135,4.060002919636929e-06,8.119972872461847e-06,4.059986436230924e-06,1.0000040599657818
0.01175849554052157,4.452565141477294e-06,8.905090631985653e-06,4.452545315992826e-06,1.0000044526182352
0.012315506032928261,4.883022187485153e-06,9.765996687458164e-06,4.882998343729082e-06,1.0000048830153918
0.01289890261253308,5.355022919317776e-06,1.070998848728092e-05,5.35499424364046e-06,1.0000053549408292
0.013509935211980266,5.872566182674177e-06,1.1745063390242007e-05,5.872531695121003e-06,1.0000058726891508
0.01414991297434576,6.440034169052922e-06,1.2879985388839847e-05,6.4399926944199235e-06,1.0000064401677091
0.014820207057988586,7.062228941201454e-06,1.4124358133248918e-05,7.062179066624459e-06,1.0000070622079282
0.01552225357427048,7.744412396704092e-06,1.548870484198148e-05,7.74435242099074e-06,1.000007744445254
0.016257556664437952,8.49234998856474e-06,1.698455573848596e-05,8.49227786924298e-06,1.0000084923412624
