T_ramp,shape,L_max_ramp,t_peak_ramp,L_max_post,t_peak_post,L_max_full,t_peak_full,t_peak_full_over_Tramp,peak_location
0.156118,smoothstep,3.0045225714481205e-05,0.14965354128440364,4.003038380329116e-05,0.18366570975813176,4.003038380329116e-05,0.18366570975813176,1.176454411138573,post-ramp
0.237816,smoothstep,3.6354969624063926e-05,0.22672888073394498,3.5391533832473954e-05,0.24047002502085074,3.6354969624063926e-05,0.22672888073394498,0.9533794224692409,during-ramp
0.362268,smoothstep,2.9726964751120022e-05,0.2859491142618849,1.476974740821646e-05,0.3626671693077565,2.9726964751120022e-05,0.2859491142618849,0.7893303141924899,during-ramp
0.551845,smoothstep,2.243236824028827e-05,0.37088902418682235,6.588091884474068e-06,0.7489105296080067,2.243236824028827e-05,0.37088902418682235,0.6720891268142727,during-ramp
0.840631,smoothstep,1.5558747151978025e-05,0.47189356463719767,7.568826442039267e-06,0.9511604662218516,1.5558747151978025e-05,0.47189356463719767,0.5613563675824442,during-ramp
1.28054,smoothstep,9.754870774258961e-06,0.6037382151793161,6.843636209730164e-06,1.3003592326939117,9.754870774258961e-06,0.6037382151793161,0.47147157853664556,during-ramp
1.950657,smoothstep,5.491845774585613e-06,0.7884173603002502,3.905136567894374e-06,1.95859470558799,5.491845774585613e-06,0.7884173603002502,0.4041804173159352,during-ramp
2.971452,smoothstep,2.7947779379644544e-06,1.034006735613011,1.4365170457608656e-06,2.9739131776480403,2.7947779379644544e-06,1.034006735613011,0.34798029233284294,during-ramp
4.526437,smoothstep,1.3136958010306898e-06,1.3895046880733943,3.867989137873451e-07,4.53417319266055,1.3136958010306898e-06,1.3895046880733943,0.30697537336174,during-ramp
6.89516,smoothstep,5.868283317056466e-07,1.9131398165137616,8.816902052899422e-08,6.90718011676397,5.868283317056466e-07,1.9131398165137616,0.2774612650777881,during-ramp
10.503454,smoothstep,2.5559504468475325e-07,2.7006709341117596,1.914942249214846e-08,10.50946803502919,2.5559504468475325e-07,2.7006709341117596,0.25712217467813536,during-ramp
16.0,smoothstep,1.1026341617537128e-07,3.923269391159299,3.6718672546953712e-09,16.013344453711426,1.1026341617537128e-07,3.923269391159299,0.2452043369474562,during-ramp
